feature1,feature2,nifedipine_correlation_mean,nifedipine_correlation_std,nifedipine_shapiro_p_value,nifedipine_is_normal,nifedipine_positive_proportion,nifedipine_negative_proportion,nifedipine_ci_95,nifedipine_correlated,nifedipine_correlation_type,e4031_correlation_mean,e4031_correlation_std,e4031_shapiro_p_value,e4031_is_normal,e4031_positive_proportion,e4031_negative_proportion,e4031_ci_95,e4031_correlated,e4031_correlation_type,ca_titration_correlation_mean,ca_titration_correlation_std,ca_titration_shapiro_p_value,ca_titration_is_normal,ca_titration_positive_proportion,ca_titration_negative_proportion,ca_titration_ci_95,ca_titration_correlated,ca_titration_correlation_type
calc_width_0.5 s,calc_peak_amplitude,0.4129,0.0783,0.0022,False,1.0,0.0,"(0.246, 0.553)",True,positive,-0.3111,0.1265,0.0267,False,0.01,0.99,"(-0.549, -0.068)",True,negative,-0.1687,0.0693,0.6343,True,0.009,0.991,"(-0.304, -0.037)",True,negative
calc_width_0.2 s,duration,0.4399,0.0779,0.0053,False,1.0,0.0,"(0.275, 0.58)",True,positive,-0.3491,0.1244,0.2311,True,0.002,0.998,"(-0.596, -0.1)",True,negative,0.1203,0.0717,0.1404,True,0.947,0.053,"(-0.027, 0.258)",False,inconclusive
calc_width_0.2 s,force_peak_amplitude,0.6517,0.0662,0.0,False,1.0,0.0,"(0.504, 0.769)",True,positive,-0.6554,0.0644,0.0,False,0.0,1.0,"(-0.762, -0.506)",True,negative,0.1869,0.0727,0.8479,True,0.997,0.003,"(0.045, 0.327)",True,positive
calc_width_0.2 s,force_width_0.5 s,0.6008,0.0712,0.0,False,1.0,0.0,"(0.449, 0.726)",True,positive,0.0891,0.13,0.1823,True,0.764,0.236,"(-0.178, 0.329)",False,inconclusive,0.1837,0.0669,0.1512,True,0.997,0.003,"(0.051, 0.31)",True,positive
calc_width_0.2 s,force_width_0.2 s,0.6012,0.0706,0.0001,False,1.0,0.0,"(0.455, 0.729)",True,positive,0.1951,0.1339,0.0002,False,0.916,0.084,"(-0.075, 0.44)",False,inconclusive,0.2301,0.0658,0.3156,True,0.999,0.001,"(0.099, 0.354)",True,positive
calc_width_0.2 s,force_width_0.8 s,0.5456,0.0733,0.0005,False,1.0,0.0,"(0.388, 0.677)",True,positive,-0.1205,0.1157,0.1653,True,0.146,0.854,"(-0.34, 0.115)",False,inconclusive,0.1745,0.0657,0.0017,False,0.995,0.005,"(0.037, 0.294)",True,positive
calc_width_0.2 s,force_rise_time_0.2_0.8 s,0.5783,0.0724,0.0,False,1.0,0.0,"(0.415, 0.708)",True,positive,0.339,0.1219,0.0001,False,0.994,0.006,"(0.089, 0.556)",True,positive,0.1918,0.0683,0.0154,False,0.994,0.006,"(0.056, 0.322)",True,positive
calc_width_0.2 s,force_rise_time_0.8_max s,0.4985,0.0708,0.0072,False,1.0,0.0,"(0.353, 0.634)",True,positive,0.0427,0.1234,0.9563,True,0.629,0.37,"(-0.195, 0.287)",False,inconclusive,0.1552,0.0648,0.4765,True,0.994,0.006,"(0.03, 0.278)",True,positive
calc_width_0.2 s,force_decay_time_max_0.8 s,0.504,0.0701,0.0081,False,1.0,0.0,"(0.362, 0.632)",True,positive,-0.0236,0.1328,0.8777,True,0.424,0.576,"(-0.298, 0.235)",False,inconclusive,0.0958,0.0688,0.0167,False,0.917,0.083,"(-0.034, 0.228)",False,inconclusive
calc_width_0.2 s,force_decay_time_0.2_0.8 s,0.5267,0.0737,0.0005,False,1.0,0.0,"(0.372, 0.662)",True,positive,-0.1353,0.1148,0.582,True,0.121,0.879,"(-0.359, 0.079)",False,inconclusive,0.2007,0.0684,0.388,True,0.997,0.003,"(0.07, 0.334)",True,positive
calc_width_0.2 s,calc_peak_amplitude,0.1507,0.0851,0.4787,True,0.96,0.04,"(-0.026, 0.315)",False,inconclusive,-0.3362,0.1182,0.0594,True,0.004,0.996,"(-0.557, -0.094)",True,negative,-0.0054,0.0715,0.6884,True,0.449,0.551,"(-0.147, 0.132)",False,inconclusive
calc_width_0.2 s,calc_width_0.5 s,0.6308,0.0676,0.0001,False,1.0,0.0,"(0.481, 0.75)",True,positive,0.7709,0.0656,0.0,False,1.0,0.0,"(0.616, 0.875)",True,positive,0.5856,0.0512,0.1235,True,1.0,0.0,"(0.479, 0.681)",True,positive
calc_width_0.8 s,duration,0.6906,0.0503,0.0001,False,1.0,0.0,"(0.584, 0.783)",True,positive,0.1731,0.1254,0.0273,False,0.909,0.091,"(-0.081, 0.409)",False,inconclusive,0.1965,0.0698,0.2593,True,0.995,0.005,"(0.053, 0.331)",True,positive
calc_width_0.8 s,force_peak_amplitude,0.8184,0.0352,0.0,False,1.0,0.0,"(0.744, 0.88)",True,positive,-0.0523,0.1374,0.7383,True,0.367,0.633,"(-0.318, 0.213)",False,inconclusive,0.0331,0.0699,0.3894,True,0.693,0.307,"(-0.11, 0.167)",False,inconclusive
calc_width_0.8 s,force_width_0.5 s,0.8237,0.0359,0.0,False,1.0,0.0,"(0.751, 0.883)",True,positive,0.4071,0.1181,0.0064,False,0.999,0.001,"(0.15, 0.631)",True,positive,0.2113,0.0703,0.7599,True,0.999,0.001,"(0.074, 0.35)",True,positive
calc_width_0.8 s,force_width_0.2 s,0.8175,0.0373,0.0,False,1.0,0.0,"(0.74, 0.882)",True,positive,0.4554,0.115,0.0,False,1.0,0.0,"(0.215, 0.658)",True,positive,0.2251,0.0698,0.4821,True,1.0,0.0,"(0.086, 0.364)",True,positive
calc_width_0.8 s,force_width_0.8 s,0.7924,0.0368,0.0,False,1.0,0.0,"(0.715, 0.856)",True,positive,0.0968,0.131,0.1202,True,0.773,0.227,"(-0.171, 0.343)",False,inconclusive,0.2072,0.0675,0.4212,True,0.999,0.001,"(0.068, 0.334)",True,positive
calc_width_0.8 s,force_rise_time_0.2_0.8 s,0.7829,0.0439,0.0,False,1.0,0.0,"(0.69, 0.858)",True,positive,-0.0528,0.1279,0.7704,True,0.332,0.668,"(-0.309, 0.197)",False,inconclusive,0.1735,0.0696,0.0391,False,0.993,0.007,"(0.038, 0.303)",True,positive
calc_width_0.8 s,force_rise_time_0.8_max s,0.6953,0.0475,0.0001,False,1.0,0.0,"(0.6, 0.78)",True,positive,0.0381,0.1277,0.1328,True,0.595,0.405,"(-0.202, 0.291)",False,inconclusive,0.2396,0.0652,0.6105,True,1.0,0.0,"(0.107, 0.361)",True,positive
calc_width_0.8 s,force_decay_time_max_0.8 s,0.697,0.0503,0.0001,False,1.0,0.0,"(0.589, 0.789)",True,positive,-0.0229,0.12,0.0025,False,0.433,0.567,"(-0.257, 0.208)",False,inconclusive,0.0908,0.0718,0.7252,True,0.894,0.106,"(-0.049, 0.231)",False,inconclusive
calc_width_0.8 s,force_decay_time_0.2_0.8 s,0.7454,0.0481,0.0,False,1.0,0.0,"(0.638, 0.831)",True,positive,0.0657,0.1312,0.7071,True,0.697,0.303,"(-0.194, 0.321)",False,inconclusive,0.1206,0.0719,0.3779,True,0.959,0.041,"(-0.015, 0.264)",False,inconclusive
calc_width_0.8 s,calc_peak_amplitude,0.3692,0.0822,0.0265,False,1.0,0.0,"(0.199, 0.518)",True,positive,0.0155,0.1308,0.0563,True,0.556,0.444,"(-0.261, 0.266)",False,inconclusive,-0.0728,0.0717,0.8329,True,0.149,0.851,"(-0.218, 0.068)",False,inconclusive
calc_width_0.8 s,calc_width_0.5 s,0.813,0.0369,0.0,False,1.0,0.0,"(0.733, 0.876)",True,positive,0.5593,0.0999,0.0,False,1.0,0.0,"(0.345, 0.735)",True,positive,0.4781,0.0585,0.0163,False,1.0,0.0,"(0.356, 0.584)",True,positive
calc_width_0.8 s,calc_width_0.2 s,0.6116,0.0653,0.0008,False,1.0,0.0,"(0.474, 0.73)",True,positive,0.3869,0.1169,0.0,False,0.997,0.003,"(0.135, 0.587)",True,positive,0.2589,0.0683,0.0003,False,1.0,0.0,"(0.109, 0.382)",True,positive
calc_rise_time_0.2_0.8 s,duration,0.4218,0.0747,0.0984,True,1.0,0.0,"(0.272, 0.562)",True,positive,-0.0352,0.124,0.1691,True,0.379,0.621,"(-0.266, 0.207)",False,inconclusive,0.6224,0.0406,0.0083,False,1.0,0.0,"(0.535, 0.698)",True,positive
calc_rise_time_0.2_0.8 s,force_peak_amplitude,0.6122,0.0642,0.0029,False,1.0,0.0,"(0.479, 0.731)",True,positive,0.0646,0.1215,0.0606,True,0.705,0.295,"(-0.176, 0.303)",False,inconclusive,-0.7079,0.0441,0.0281,False,0.0,1.0,"(-0.79, -0.62)",True,negative
calc_rise_time_0.2_0.8 s,force_width_0.5 s,0.5755,0.0708,0.0043,False,1.0,0.0,"(0.43, 0.699)",True,positive,-0.2043,0.1231,0.0161,False,0.053,0.947,"(-0.427, 0.042)",False,inconclusive,0.6095,0.0442,0.0007,False,1.0,0.0,"(0.52, 0.689)",True,positive
calc_rise_time_0.2_0.8 s,force_width_0.2 s,0.5731,0.0714,0.0041,False,1.0,0.0,"(0.433, 0.7)",True,positive,-0.1013,0.1269,0.0836,True,0.216,0.784,"(-0.347, 0.149)",False,inconclusive,0.6043,0.0456,0.0001,False,1.0,0.0,"(0.512, 0.686)",True,positive
calc_rise_time_0.2_0.8 s,force_width_0.8 s,0.5484,0.0721,0.0078,False,1.0,0.0,"(0.403, 0.679)",True,positive,0.0513,0.1274,0.4518,True,0.657,0.342,"(-0.195, 0.3)",False,inconclusive,0.6082,0.0392,0.002,False,1.0,0.0,"(0.523, 0.681)",True,positive
calc_rise_time_0.2_0.8 s,force_rise_time_0.2_0.8 s,0.562,0.072,0.0041,False,1.0,0.0,"(0.413, 0.692)",True,positive,0.1496,0.1318,0.3806,True,0.872,0.128,"(-0.112, 0.402)",False,inconclusive,-0.2645,0.0684,0.0082,False,0.001,0.999,"(-0.395, -0.129)",True,negative
calc_rise_time_0.2_0.8 s,force_rise_time_0.8_max s,0.5122,0.0739,0.0087,False,1.0,0.0,"(0.368, 0.646)",True,positive,-0.0538,0.1348,0.9238,True,0.332,0.668,"(-0.314, 0.213)",False,inconclusive,0.1214,0.0725,0.3766,True,0.957,0.043,"(-0.023, 0.26)",False,inconclusive
