feature1,feature2,correlation_mean,correlation_std,shapiro_p_value,is_normal,positive_proportion,negative_proportion,ci_95,correlated,correlation_type
calc_width_0.8 s,force_peak_amplitude,0.0331,0.0699,0.3894,True,0.693,0.307,"(-0.11, 0.167)",False,inconclusive
calc_width_0.8 s,force_width_0.5 s,0.2113,0.0703,0.7599,True,0.999,0.001,"(0.074, 0.35)",True,positive
calc_width_0.8 s,force_width_0.2 s,0.2251,0.0698,0.4821,True,1.0,0.0,"(0.086, 0.364)",True,positive
calc_width_0.8 s,force_width_0.8 s,0.2072,0.0675,0.4212,True,0.999,0.001,"(0.068, 0.334)",True,positive
calc_width_0.8 s,force_rise_time_0.2_0.8 s,0.1735,0.0696,0.0391,False,0.993,0.007,"(0.038, 0.303)",True,positive
calc_width_0.8 s,force_rise_time_0.8_max s,0.2396,0.0652,0.6105,True,1.0,0.0,"(0.107, 0.361)",True,positive
calc_width_0.8 s,force_decay_time_max_0.8 s,0.0908,0.0718,0.7252,True,0.894,0.106,"(-0.049, 0.231)",False,inconclusive
calc_width_0.8 s,force_decay_time_0.2_0.8 s,0.1206,0.0719,0.3779,True,0.959,0.041,"(-0.015, 0.264)",False,inconclusive
calc_width_0.8 s,calc_peak_amplitude,-0.0728,0.0717,0.8329,True,0.149,0.851,"(-0.218, 0.068)",False,inconclusive
calc_width_0.8 s,calc_width_0.5 s,0.4781,0.0585,0.0163,False,1.0,0.0,"(0.356, 0.584)",True,positive
calc_width_0.8 s,calc_width_0.2 s,0.2589,0.0683,0.0003,False,1.0,0.0,"(0.109, 0.382)",True,positive
calc_rise_time_0.2_0.8 s,duration,0.6224,0.0406,0.0083,False,1.0,0.0,"(0.535, 0.698)",True,positive
calc_rise_time_0.2_0.8 s,force_peak_amplitude,-0.7079,0.0441,0.0281,False,0.0,1.0,"(-0.79, -0.62)",True,negative
calc_rise_time_0.2_0.8 s,force_width_0.5 s,0.6095,0.0442,0.0007,False,1.0,0.0,"(0.52, 0.689)",True,positive
calc_rise_time_0.2_0.8 s,force_width_0.2 s,0.6043,0.0456,0.0001,False,1.0,0.0,"(0.512, 0.686)",True,positive
calc_rise_time_0.2_0.8 s,force_width_0.8 s,0.6082,0.0392,0.002,False,1.0,0.0,"(0.523, 0.681)",True,positive
calc_rise_time_0.2_0.8 s,force_rise_time_0.2_0.8 s,-0.2645,0.0684,0.0082,False,0.001,0.999,"(-0.395, -0.129)",True,negative
calc_rise_time_0.2_0.8 s,force_rise_time_0.8_max s,0.1214,0.0725,0.3766,True,0.957,0.043,"(-0.023, 0.26)",False,inconclusive
calc_rise_time_0.2_0.8 s,force_decay_time_max_0.8 s,0.5286,0.0477,0.0079,False,1.0,0.0,"(0.429, 0.617)",True,positive
calc_rise_time_0.2_0.8 s,force_decay_time_0.2_0.8 s,0.4421,0.0567,0.0266,False,1.0,0.0,"(0.331, 0.551)",True,positive
calc_rise_time_0.2_0.8 s,calc_peak_amplitude,-0.6048,0.0498,0.0059,False,0.0,1.0,"(-0.696, -0.505)",True,negative
calc_rise_time_0.2_0.8 s,calc_width_0.5 s,0.0054,0.0703,0.9994,True,0.533,0.467,"(-0.133, 0.144)",False,inconclusive
calc_rise_time_0.2_0.8 s,calc_width_0.2 s,0.0423,0.0737,0.5926,True,0.714,0.286,"(-0.108, 0.183)",False,inconclusive
calc_rise_time_0.2_0.8 s,calc_width_0.8 s,-0.2162,0.067,0.6858,True,0.0,1.0,"(-0.344, -0.09)",True,negative
calc_rise_time_0.8_max s,duration,0.353,0.0601,0.769,True,1.0,0.0,"(0.238, 0.472)",True,positive
calc_rise_time_0.8_max s,force_peak_amplitude,-0.361,0.0693,0.8091,True,0.0,1.0,"(-0.498, -0.227)",True,negative
calc_rise_time_0.8_max s,force_width_0.5 s,0.3511,0.066,0.818,True,1.0,0.0,"(0.228, 0.48)",True,positive
calc_rise_time_0.8_max s,force_width_0.2 s,0.3223,0.0681,0.2505,True,1.0,0.0,"(0.193, 0.453)",True,positive
calc_rise_time_0.8_max s,force_width_0.8 s,0.3286,0.0657,0.3076,True,1.0,0.0,"(0.194, 0.45)",True,positive
calc_rise_time_0.8_max s,force_rise_time_0.2_0.8 s,-0.0765,0.0713,0.0221,False,0.153,0.847,"(-0.204, 0.057)",False,inconclusive
calc_rise_time_0.8_max s,force_rise_time_0.8_max s,0.1575,0.0663,0.3067,True,0.991,0.009,"(0.028, 0.291)",True,positive
calc_rise_time_0.8_max s,force_decay_time_max_0.8 s,0.2614,0.0672,0.6975,True,1.0,0.0,"(0.128, 0.387)",True,positive
calc_rise_time_0.8_max s,force_decay_time_0.2_0.8 s,0.218,0.0703,0.1082,True,1.0,0.0,"(0.079, 0.351)",True,positive
calc_rise_time_0.8_max s,calc_peak_amplitude,-0.3364,0.0698,0.9348,True,0.0,1.0,"(-0.472, -0.204)",True,negative
calc_rise_time_0.8_max s,calc_width_0.5 s,0.1091,0.0707,0.41,True,0.94,0.06,"(-0.03, 0.242)",False,inconclusive
calc_rise_time_0.8_max s,calc_width_0.2 s,-0.0924,0.0707,0.1617,True,0.104,0.896,"(-0.228, 0.047)",False,inconclusive
calc_rise_time_0.8_max s,calc_width_0.8 s,0.3248,0.0638,0.0225,False,1.0,0.0,"(0.194, 0.442)",True,positive
calc_rise_time_0.8_max s,calc_rise_time_0.2_0.8 s,0.1739,0.0681,0.3572,True,0.994,0.006,"(0.041, 0.299)",True,positive
calc_decay_time_max_0.8 s,duration,-0.2802,0.0664,0.9324,True,0.0,1.0,"(-0.41, -0.153)",True,negative
calc_decay_time_max_0.8 s,force_peak_amplitude,0.504,0.0601,0.1008,True,1.0,0.0,"(0.38, 0.62)",True,positive
calc_decay_time_max_0.8 s,force_width_0.5 s,-0.2904,0.064,0.1145,True,0.0,1.0,"(-0.406, -0.163)",True,negative
calc_decay_time_max_0.8 s,force_width_0.2 s,-0.2626,0.0653,0.2758,True,0.0,1.0,"(-0.384, -0.129)",True,negative
calc_decay_time_max_0.8 s,force_width_0.8 s,-0.2397,0.0625,0.2944,True,0.0,1.0,"(-0.359, -0.111)",True,negative
calc_decay_time_max_0.8 s,force_rise_time_0.2_0.8 s,0.3457,0.0661,0.0118,False,1.0,0.0,"(0.211, 0.467)",True,positive
calc_decay_time_max_0.8 s,force_rise_time_0.8_max s,0.0893,0.0687,0.1849,True,0.902,0.098,"(-0.057, 0.219)",False,inconclusive
calc_decay_time_max_0.8 s,force_decay_time_max_0.8 s,-0.2904,0.065,0.08,True,0.0,1.0,"(-0.414, -0.16)",True,negative
calc_decay_time_max_0.8 s,force_decay_time_0.2_0.8 s,-0.2672,0.0673,0.0551,True,0.0,1.0,"(-0.39, -0.135)",True,negative
calc_decay_time_max_0.8 s,calc_peak_amplitude,0.4005,0.0642,0.1549,True,1.0,0.0,"(0.273, 0.522)",True,positive
calc_decay_time_max_0.8 s,calc_width_0.5 s,0.2228,0.0695,0.6503,True,1.0,0.0,"(0.082, 0.355)",True,positive
calc_decay_time_max_0.8 s,calc_width_0.2 s,0.2857,0.0664,0.6683,True,1.0,0.0,"(0.159, 0.419)",True,positive
calc_decay_time_max_0.8 s,calc_width_0.8 s,0.4554,0.0601,0.0908,True,1.0,0.0,"(0.342, 0.576)",True,positive
calc_decay_time_max_0.8 s,calc_rise_time_0.2_0.8 s,-0.3978,0.0623,0.263,True,0.0,1.0,"(-0.517, -0.273)",True,negative
calc_decay_time_max_0.8 s,calc_rise_time_0.8_max s,-0.5253,0.0548,0.1068,True,0.0,1.0,"(-0.628, -0.411)",True,negative
calc_decay_time_0.2_0.8 s,duration,-0.1836,0.068,0.5272,True,0.001,0.999,"(-0.323, -0.051)",True,negative
calc_decay_time_0.2_0.8 s,force_peak_amplitude,0.433,0.0666,0.7992,True,1.0,0.0,"(0.304, 0.561)",True,positive
calc_decay_time_0.2_0.8 s,force_width_0.5 s,-0.1293,0.0649,0.65,True,0.02,0.98,"(-0.255, -0.008)",True,negative
calc_decay_time_0.2_0.8 s,force_width_0.2 s,-0.0787,0.0645,0.583,True,0.115,0.885,"(-0.207, 0.042)",False,inconclusive
calc_decay_time_0.2_0.8 s,force_width_0.8 s,-0.1166,0.0626,0.0121,False,0.026,0.974,"(-0.244, 0.001)",False,inconclusive
