feature1,feature2,correlation_mean,correlation_std,shapiro_p_value,is_normal,positive_proportion,negative_proportion,ci_95,correlated,correlation_type
calc_width_0.8 s,force_decay_time_max_0.8 s,0.697,0.0503,0.0001,False,1.0,0.0,"(0.589, 0.789)",True,positive
calc_width_0.8 s,force_decay_time_0.2_0.8 s,0.7454,0.0481,0.0,False,1.0,0.0,"(0.638, 0.831)",True,positive
calc_width_0.8 s,calc_peak_amplitude,0.3692,0.0822,0.0265,False,1.0,0.0,"(0.199, 0.518)",True,positive
calc_width_0.8 s,calc_width_0.5 s,0.813,0.0369,0.0,False,1.0,0.0,"(0.733, 0.876)",True,positive
calc_width_0.8 s,calc_width_0.2 s,0.6116,0.0653,0.0008,False,1.0,0.0,"(0.474, 0.73)",True,positive
calc_rise_time_0.2_0.8 s,duration,0.4218,0.0747,0.0984,True,1.0,0.0,"(0.272, 0.562)",True,positive
calc_rise_time_0.2_0.8 s,force_peak_amplitude,0.6122,0.0642,0.0029,False,1.0,0.0,"(0.479, 0.731)",True,positive
calc_rise_time_0.2_0.8 s,force_width_0.5 s,0.5755,0.0708,0.0043,False,1.0,0.0,"(0.43, 0.699)",True,positive
calc_rise_time_0.2_0.8 s,force_width_0.2 s,0.5731,0.0714,0.0041,False,1.0,0.0,"(0.433, 0.7)",True,positive
calc_rise_time_0.2_0.8 s,force_width_0.8 s,0.5484,0.0721,0.0078,False,1.0,0.0,"(0.403, 0.679)",True,positive
calc_rise_time_0.2_0.8 s,force_rise_time_0.2_0.8 s,0.562,0.072,0.0041,False,1.0,0.0,"(0.413, 0.692)",True,positive
calc_rise_time_0.2_0.8 s,force_rise_time_0.8_max s,0.5122,0.0739,0.0087,False,1.0,0.0,"(0.368, 0.646)",True,positive
calc_rise_time_0.2_0.8 s,force_decay_time_max_0.8 s,0.4655,0.0737,0.3044,True,1.0,0.0,"(0.315, 0.603)",True,positive
calc_rise_time_0.2_0.8 s,force_decay_time_0.2_0.8 s,0.5418,0.0754,0.0127,False,1.0,0.0,"(0.384, 0.681)",True,positive
calc_rise_time_0.2_0.8 s,calc_peak_amplitude,-0.064,0.0903,0.0067,False,0.241,0.759,"(-0.243, 0.102)",False,inconclusive
calc_rise_time_0.2_0.8 s,calc_width_0.5 s,0.5866,0.0695,0.0525,True,1.0,0.0,"(0.448, 0.716)",True,positive
calc_rise_time_0.2_0.8 s,calc_width_0.2 s,0.6139,0.0582,0.0,False,1.0,0.0,"(0.494, 0.721)",True,positive
calc_rise_time_0.2_0.8 s,calc_width_0.8 s,0.5052,0.0713,0.0012,False,1.0,0.0,"(0.357, 0.64)",True,positive
calc_rise_time_0.8_max s,duration,0.5281,0.0642,0.0531,True,1.0,0.0,"(0.404, 0.649)",True,positive
calc_rise_time_0.8_max s,force_peak_amplitude,0.6494,0.0581,0.0029,False,1.0,0.0,"(0.535, 0.755)",True,positive
calc_rise_time_0.8_max s,force_width_0.5 s,0.6426,0.0608,0.0114,False,1.0,0.0,"(0.52, 0.755)",True,positive
calc_rise_time_0.8_max s,force_width_0.2 s,0.6291,0.0608,0.0602,True,1.0,0.0,"(0.509, 0.742)",True,positive
calc_rise_time_0.8_max s,force_width_0.8 s,0.6266,0.0599,0.0011,False,1.0,0.0,"(0.503, 0.738)",True,positive
calc_rise_time_0.8_max s,force_rise_time_0.2_0.8 s,0.6238,0.0635,0.2592,True,1.0,0.0,"(0.493, 0.738)",True,positive
calc_rise_time_0.8_max s,force_rise_time_0.8_max s,0.5379,0.0688,0.2684,True,1.0,0.0,"(0.4, 0.667)",True,positive
calc_rise_time_0.8_max s,force_decay_time_max_0.8 s,0.54,0.0684,0.27,True,1.0,0.0,"(0.397, 0.665)",True,positive
calc_rise_time_0.8_max s,force_decay_time_0.2_0.8 s,0.5986,0.0638,0.0221,False,1.0,0.0,"(0.466, 0.715)",True,positive
calc_rise_time_0.8_max s,calc_peak_amplitude,0.1231,0.0939,0.006,False,0.905,0.095,"(-0.069, 0.288)",False,inconclusive
calc_rise_time_0.8_max s,calc_width_0.5 s,0.6403,0.061,0.0629,True,1.0,0.0,"(0.521, 0.76)",True,positive
calc_rise_time_0.8_max s,calc_width_0.2 s,0.4996,0.0673,0.0966,True,1.0,0.0,"(0.364, 0.621)",True,positive
calc_rise_time_0.8_max s,calc_width_0.8 s,0.6482,0.0551,0.0001,False,1.0,0.0,"(0.536, 0.746)",True,positive
calc_rise_time_0.8_max s,calc_rise_time_0.2_0.8 s,0.5845,0.0614,0.0001,False,1.0,0.0,"(0.464, 0.696)",True,positive
calc_decay_time_max_0.8 s,duration,0.3836,0.079,0.0285,False,1.0,0.0,"(0.227, 0.528)",True,positive
calc_decay_time_max_0.8 s,force_peak_amplitude,0.4037,0.0794,0.0076,False,1.0,0.0,"(0.238, 0.544)",True,positive
calc_decay_time_max_0.8 s,force_width_0.5 s,0.3813,0.0849,0.0027,False,1.0,0.0,"(0.204, 0.531)",True,positive
calc_decay_time_max_0.8 s,force_width_0.2 s,0.3781,0.0838,0.0019,False,1.0,0.0,"(0.21, 0.523)",True,positive
calc_decay_time_max_0.8 s,force_width_0.8 s,0.3599,0.0837,0.0251,False,1.0,0.0,"(0.186, 0.511)",True,positive
calc_decay_time_max_0.8 s,force_rise_time_0.2_0.8 s,0.3502,0.0848,0.0143,False,1.0,0.0,"(0.18, 0.507)",True,positive
calc_decay_time_max_0.8 s,force_rise_time_0.8_max s,0.2945,0.0837,0.5003,True,1.0,0.0,"(0.121, 0.453)",True,positive
calc_decay_time_max_0.8 s,force_decay_time_max_0.8 s,0.309,0.0829,0.0787,True,1.0,0.0,"(0.146, 0.462)",True,positive
calc_decay_time_max_0.8 s,force_decay_time_0.2_0.8 s,0.3189,0.089,0.0134,False,1.0,0.0,"(0.132, 0.483)",True,positive
calc_decay_time_max_0.8 s,calc_peak_amplitude,0.462,0.0781,0.0257,False,1.0,0.0,"(0.298, 0.606)",True,positive
calc_decay_time_max_0.8 s,calc_width_0.5 s,0.4076,0.0804,0.0582,True,1.0,0.0,"(0.242, 0.556)",True,positive
calc_decay_time_max_0.8 s,calc_width_0.2 s,0.2619,0.0819,0.1039,True,0.998,0.002,"(0.101, 0.414)",True,positive
calc_decay_time_max_0.8 s,calc_width_0.8 s,0.5805,0.0698,0.001,False,1.0,0.0,"(0.44, 0.703)",True,positive
calc_decay_time_max_0.8 s,calc_rise_time_0.2_0.8 s,0.0335,0.0835,0.1999,True,0.659,0.341,"(-0.131, 0.192)",False,inconclusive
calc_decay_time_max_0.8 s,calc_rise_time_0.8_max s,-0.044,0.0857,0.1665,True,0.289,0.711,"(-0.209, 0.133)",False,inconclusive
calc_decay_time_0.2_0.8 s,duration,0.0563,0.0938,0.0501,True,0.731,0.269,"(-0.142, 0.225)",False,inconclusive
calc_decay_time_0.2_0.8 s,force_peak_amplitude,0.2019,0.0952,0.1863,True,0.98,0.02,"(0.008, 0.38)",True,positive
calc_decay_time_0.2_0.8 s,force_width_0.5 s,0.1328,0.097,0.4895,True,0.908,0.092,"(-0.064, 0.312)",False,inconclusive
calc_decay_time_0.2_0.8 s,force_width_0.2 s,0.1465,0.0963,0.3254,True,0.928,0.072,"(-0.044, 0.327)",False,inconclusive
calc_decay_time_0.2_0.8 s,force_width_0.8 s,0.0861,0.0945,0.5292,True,0.816,0.184,"(-0.094, 0.259)",False,inconclusive
calc_decay_time_0.2_0.8 s,force_rise_time_0.2_0.8 s,0.1502,0.0967,0.4936,True,0.933,0.067,"(-0.052, 0.327)",False,inconclusive
calc_decay_time_0.2_0.8 s,force_rise_time_0.8_max s,0.088,0.0904,0.4729,True,0.835,0.165,"(-0.095, 0.258)",False,inconclusive
calc_decay_time_0.2_0.8 s,force_decay_time_max_0.8 s,0.1082,0.0898,0.3171,True,0.887,0.113,"(-0.067, 0.282)",False,inconclusive
calc_decay_time_0.2_0.8 s,force_decay_time_0.2_0.8 s,0.0995,0.0932,0.5336,True,0.859,0.141,"(-0.081, 0.271)",False,inconclusive
calc_decay_time_0.2_0.8 s,calc_peak_amplitude,0.0608,0.0881,0.5777,True,0.755,0.245,"(-0.121, 0.226)",False,inconclusive
calc_decay_time_0.2_0.8 s,calc_width_0.5 s,0.1983,0.0935,0.3159,True,0.979,0.021,"(0.003, 0.384)",True,positive
calc_decay_time_0.2_0.8 s,calc_width_0.2 s,0.7349,0.0474,0.2474,True,1.0,0.0,"(0.64, 0.824)",True,positive
calc_decay_time_0.2_0.8 s,calc_width_0.8 s,0.0845,0.096,0.5517,True,0.808,0.192,"(-0.103, 0.267)",False,inconclusive
calc_decay_time_0.2_0.8 s,calc_rise_time_0.2_0.8 s,0.2318,0.0848,0.3242,True,0.997,0.003,"(0.055, 0.398)",True,positive
calc_decay_time_0.2_0.8 s,calc_rise_time_0.8_max s,0.0722,0.0914,0.152,True,0.78,0.22,"(-0.098, 0.247)",False,inconclusive
calc_decay_time_0.2_0.8 s,calc_decay_time_max_0.8 s,0.0158,0.0882,0.8923,True,0.574,0.426,"(-0.164, 0.189)",False,inconclusive
local_frequency[Hz],duration,-0.1343,0.0899,0.1902,True,0.072,0.928,"(-0.301, 0.053)",False,inconclusive
local_frequency[Hz],force_peak_amplitude,-0.2041,0.0887,0.1206,True,0.01,0.99,"(-0.374, -0.034)",True,negative
local_frequency[Hz],force_width_0.5 s,-0.1533,0.0964,0.0347,False,0.059,0.941,"(-0.337, 0.044)",False,inconclusive
local_frequency[Hz],force_width_0.2 s,-0.188,0.0947,0.1346,True,0.028,0.972,"(-0.369, 0.002)",False,inconclusive
local_frequency[Hz],force_width_0.8 s,-0.1485,0.0947,0.0926,True,0.059,0.941,"(-0.328, 0.048)",False,inconclusive
local_frequency[Hz],force_rise_time_0.2_0.8 s,-0.1634,0.0959,0.2429,True,0.049,0.951,"(-0.341, 0.028)",False,inconclusive
local_frequency[Hz],force_rise_time_0.8_max s,-0.1215,0.09,0.0499,False,0.099,0.901,"(-0.289, 0.056)",False,inconclusive
local_frequency[Hz],force_decay_time_max_0.8 s,-0.1372,0.0922,0.3558,True,0.074,0.926,"(-0.311, 0.056)",False,inconclusive
local_frequency[Hz],force_decay_time_0.2_0.8 s,-0.1503,0.0939,0.5408,True,0.055,0.945,"(-0.33, 0.033)",False,inconclusive
local_frequency[Hz],calc_peak_amplitude,-0.6745,0.0633,0.0,False,0.0,1.0,"(-0.786, -0.544)",True,negative
local_frequency[Hz],calc_width_0.5 s,-0.1159,0.0898,0.0604,True,0.1,0.9,"(-0.288, 0.065)",False,inconclusive
local_frequency[Hz],calc_width_0.2 s,0.0228,0.0882,0.0912,True,0.591,0.409,"(-0.135, 0.202)",False,inconclusive
local_frequency[Hz],calc_width_0.8 s,-0.0364,0.0914,0.0852,True,0.353,0.647,"(-0.214, 0.136)",False,inconclusive
local_frequency[Hz],calc_rise_time_0.2_0.8 s,0.1647,0.0926,0.5579,True,0.961,0.039,"(-0.014, 0.347)",False,inconclusive
local_frequency[Hz],calc_rise_time_0.8_max s,0.08,0.0967,0.3113,True,0.779,0.221,"(-0.1, 0.282)",False,inconclusive
local_frequency[Hz],calc_decay_time_max_0.8 s,-0.2321,0.0858,0.6581,True,0.001,0.999,"(-0.399, -0.062)",True,negative
local_frequency[Hz],calc_decay_time_0.2_0.8 s,-0.089,0.0881,0.5368,True,0.148,0.852,"(-0.258, 0.088)",False,inconclusive
