drug,bct_id,concentration[um],duration,force_peak_amplitude,force_width_0.5 s,force_width_0.2 s,force_width_0.8 s,force_rise_time_0.2_0.8 s,force_rise_time_0.8_max s,force_decay_time_max_0.8 s,force_decay_time_0.2_0.8 s,calc_peak_amplitude,calc_width_0.5 s,calc_width_0.2 s,calc_width_0.8 s,calc_rise_time_0.2_0.8 s,calc_rise_time_0.8_max s,calc_decay_time_max_0.8 s,calc_decay_time_0.2_0.8 s,local_frequency[Hz]
nifedipine,1.30b_B03,4.0,0.22966666666666666,0.2207083333333333,0.15666666666666665,0.23208333333333334,0.09000000000000001,0.07,0.043750000000000004,0.045000000000000005,0.07583333333333334,0.25995833333333335,0.3229166666666667,0.6216666666666667,0.16166666666666665,0.07958333333333334,0.06166666666666667,0.10041666666666667,0.38125000000000003,0.4641835971058769
nifedipine,1.30b_B03,10.0,0.22144444444444444,0.04011111111111111,0.15666666666666668,0.24555555555555555,0.09000000000000001,0.06666666666666667,0.04111111111111111,0.04777777777777778,0.08666666666666667,0.08833333333333332,0.30000000000000004,0.6155555555555555,0.14,0.08666666666666667,0.05222222222222222,0.08666666666666667,0.39222222222222225,0.2964573593790677
nifedipine,1.30b_B03,20.0,0.349,2.968,0.24,0.34,0.14,0.09,0.07,0.07,0.11,1.066,0.39,0.64,0.21,0.08,0.08,0.13,0.35,0.2686270998760235
ca_titration,1.13b_B19,0.1,0.5987750000000001,0.0615,0.318,0.45599999999999996,0.17125,0.08349999999999999,0.06525,0.10600000000000001,0.20049999999999998,0.06545,0.46775,0.8432499999999999,0.2045,0.22625,0.10500000000000001,0.10075,0.4105,0.7434662179171946
ca_titration,1.13b_B19,0.4,0.6306285714285714,0.8722857142857143,0.27942857142857147,0.39257142857142857,0.16885714285714287,0.10857142857142857,0.08457142857142858,0.08314285714285714,0.12000000000000001,0.2798857142857143,0.47828571428571426,0.7837142857142857,0.26857142857142857,0.1302857142857143,0.128,0.14057142857142857,0.3848571428571429,0.6241441937036227
ca_titration,1.13b_B19,0.6,0.5551111111111111,1.4082222222222223,0.26,0.3733333333333333,0.15111111111111108,0.11,0.07888888888888888,0.07444444444444445,0.11,0.2891111111111111,0.48444444444444446,0.7933333333333334,0.2611111111111111,0.1388888888888889,0.12555555555555556,0.1388888888888889,0.3933333333333333,0.48912390254080595
ca_titration,1.13b_B19,1.0,0.5495882352941176,2.050205882352941,0.24294117647058822,0.3514705882352941,0.14,0.1,0.0711764705882353,0.07205882352941177,0.11,0.5397941176470589,0.4379411764705883,0.725,0.23617647058823527,0.10852941176470587,0.10088235294117648,0.135,0.37970588235294117,0.6132540934170445
ca_titration,1.13b_B19,1.5,0.5066451612903227,2.4372580645161293,0.2303225806451613,0.34,0.14,0.1,0.06806451612903226,0.06870967741935485,0.10935483870967742,0.609741935483871,0.43032258064516127,0.7277419354838709,0.23451612903225805,0.10193548387096775,0.09548387096774194,0.13870967741935483,0.39064516129032256,0.55340073381879
ca_titration,1.13b_B19,2.0,0.42172,2.90072,0.25,0.36,0.1452,0.1,0.0704,0.07600000000000001,0.11560000000000001,0.8300799999999999,0.47119999999999995,0.8108,0.24760000000000001,0.1,0.0964,0.1508,0.4648,0.47318755321823447
ca_titration,1.20b_B01,0.2,0.5172244897959184,0.2413877551020408,0.2602040816326531,0.3689795918367347,0.15285714285714286,0.08326530612244898,0.06551020408163265,0.08734693877551021,0.13224489795918368,0.22871428571428573,0.4265306122448979,0.6895918367346938,0.2338775510204082,0.1279591836734694,0.12081632653061225,0.11061224489795918,0.3283673469387755,0.866972209877111
