TSNE1,TSNE2,concentration,data_type,bct_id,drug,frequency[Hz]
4.149539,28.02025,0.01,e4031,1.17b_B02,e4031,0.23
3.3422322,22.933012,0.01,e4031,1.17b_B02,e4031,0.23
3.2143023,22.594234,0.01,e4031,1.17b_B02,e4031,0.23
6.309184,24.961946,0.01,e4031,1.17b_B02,e4031,0.23
3.2343738,20.841532,0.01,e4031,1.17b_B02,e4031,0.23
3.2194297,27.54237,0.01,e4031,1.17b_B02,e4031,0.23
7.1116443,25.365984,0.03,e4031,1.17b_B02,e4031,0.2
4.6927767,25.354382,0.03,e4031,1.17b_B02,e4031,0.2
5.678813,24.712368,0.03,e4031,1.17b_B02,e4031,0.2
6.9925838,25.241753,0.03,e4031,1.17b_B02,e4031,0.2
6.195075,27.17866,0.03,e4031,1.17b_B02,e4031,0.2
6.593938,26.314367,0.03,e4031,1.17b_B02,e4031,0.2
6.4666862,25.502697,0.03,e4031,1.17b_B02,e4031,0.2
4.319315,26.706566,0.03,e4031,1.17b_B02,e4031,0.2
6.9865994,23.913935,0.03,e4031,1.17b_B02,e4031,0.2
-3.533917,5.82519,0.003,e4031,1.20b_B01,e4031,0.48
-2.5776083,9.813246,0.003,e4031,1.20b_B01,e4031,0.48
-3.6444268,10.7265835,0.003,e4031,1.20b_B01,e4031,0.48
-4.934276,6.4536858,0.003,e4031,1.20b_B01,e4031,0.48
-4.344789,10.444888,0.003,e4031,1.20b_B01,e4031,0.48
-4.8768215,5.6781063,0.003,e4031,1.20b_B01,e4031,0.48
-4.17386,10.315333,0.003,e4031,1.20b_B01,e4031,0.48
-5.2036076,6.3011713,0.003,e4031,1.20b_B01,e4031,0.48
-3.692187,6.110122,0.003,e4031,1.20b_B01,e4031,0.48
-0.77744657,18.02096,0.003,e4031,1.20b_B01,e4031,0.48
-2.9743495,11.140698,0.003,e4031,1.20b_B01,e4031,0.48
-1.7488497,12.53185,0.003,e4031,1.20b_B01,e4031,0.48
-3.4644294,9.69882,0.003,e4031,1.20b_B01,e4031,0.48
-2.5559702,11.205665,0.003,e4031,1.20b_B01,e4031,0.48
-0.37293229,17.942373,0.003,e4031,1.20b_B01,e4031,0.48
-1.1750183,12.298132,0.003,e4031,1.20b_B01,e4031,0.48
-0.26949432,17.278261,0.003,e4031,1.20b_B01,e4031,0.48
-0.1480809,17.15053,0.003,e4031,1.20b_B01,e4031,0.48
-2.439896,11.762843,0.003,e4031,1.20b_B01,e4031,0.48
-3.3528993,12.148018,0.003,e4031,1.20b_B01,e4031,0.48
0.5662116,17.933758,0.003,e4031,1.20b_B01,e4031,0.48
-3.4363308,12.07979,0.003,e4031,1.20b_B01,e4031,0.48
-4.8759875,4.4479356,0.003,e4031,1.20b_B01,e4031,0.48
-0.27508324,11.5592785,0.003,e4031,1.20b_B01,e4031,0.48
-0.6642767,11.392343,0.003,e4031,1.20b_B01,e4031,0.48
0.039031472,11.914275,0.003,e4031,1.20b_B01,e4031,0.48
-13.555065,7.1197443,0.01,e4031,1.20b_B01,e4031,0.65
-13.758163,6.75868,0.01,e4031,1.20b_B01,e4031,0.65
-13.968981,5.8263574,0.01,e4031,1.20b_B01,e4031,0.65
-13.890359,5.7191105,0.01,e4031,1.20b_B01,e4031,0.65
-13.667928,5.613325,0.01,e4031,1.20b_B01,e4031,0.65
-9.796036,0.45764193,0.01,e4031,1.20b_B01,e4031,0.65
-16.38939,-1.7514939,0.01,e4031,1.20b_B01,e4031,0.65
-13.217656,5.0533023,0.01,e4031,1.20b_B01,e4031,0.65
-15.001461,1.9578904,0.01,e4031,1.20b_B01,e4031,0.65
-15.611136,3.0840547,0.01,e4031,1.20b_B01,e4031,0.65
-14.261246,-1.6622438,0.01,e4031,1.20b_B01,e4031,0.65
-9.639205,0.72146374,0.01,e4031,1.20b_B01,e4031,0.65
-12.591677,5.423312,0.01,e4031,1.20b_B01,e4031,0.65
-15.604793,2.2210083,0.01,e4031,1.20b_B01,e4031,0.65
-12.119385,6.102758,0.01,e4031,1.20b_B01,e4031,0.65
-12.302368,4.7094007,0.01,e4031,1.20b_B01,e4031,0.65
-14.56896,2.827785,0.01,e4031,1.20b_B01,e4031,0.65
-14.103048,2.0331767,0.01,e4031,1.20b_B01,e4031,0.65
-14.778753,2.6798432,0.01,e4031,1.20b_B01,e4031,0.65
-9.047431,1.520207,0.01,e4031,1.20b_B01,e4031,0.65
-14.059614,2.206357,0.01,e4031,1.20b_B01,e4031,0.65
-10.770473,4.0266576,0.01,e4031,1.20b_B01,e4031,0.65
-12.769387,-1.8323171,0.01,e4031,1.20b_B01,e4031,0.65
-17.381418,-2.3577485,0.01,e4031,1.20b_B01,e4031,0.65
-10.021973,5.349819,0.01,e4031,1.20b_B01,e4031,0.65
-13.110685,1.5743098,0.01,e4031,1.20b_B01,e4031,0.65
-10.695856,4.659586,0.01,e4031,1.20b_B01,e4031,0.65
-8.430456,2.1799219,0.01,e4031,1.20b_B01,e4031,0.65
-8.545678,2.1339226,0.01,e4031,1.20b_B01,e4031,0.65
-10.233687,3.3253958,0.01,e4031,1.20b_B01,e4031,0.65
-10.209898,3.8466527,0.01,e4031,1.20b_B01,e4031,0.65
-10.285247,3.5559502,0.01,e4031,1.20b_B01,e4031,0.65
-12.37844,1.8945253,0.01,e4031,1.20b_B01,e4031,0.65
-12.359361,2.0737674,0.01,e4031,1.20b_B01,e4031,0.65
-9.4117565,3.8643847,0.01,e4031,1.20b_B01,e4031,0.65
-16.603325,3.844318,0.03,e4031,1.20b_B01,e4031,0.58
-17.458082,2.789774,0.03,e4031,1.20b_B01,e4031,0.58
-14.949682,-1.588534,0.03,e4031,1.20b_B01,e4031,0.58
-18.190445,2.379327,0.03,e4031,1.20b_B01,e4031,0.58
-16.752317,2.8973143,0.03,e4031,1.20b_B01,e4031,0.58
-16.832006,2.497,0.03,e4031,1.20b_B01,e4031,0.58
-14.771422,-1.6161118,0.03,e4031,1.20b_B01,e4031,0.58
-17.012037,1.992841,0.03,e4031,1.20b_B01,e4031,0.58
-16.92369,2.3272202,0.03,e4031,1.20b_B01,e4031,0.58
-17.799921,1.7320688,0.03,e4031,1.20b_B01,e4031,0.58
-14.246371,0.027126588,0.03,e4031,1.20b_B01,e4031,0.58
-16.065813,-1.9707484,0.03,e4031,1.20b_B01,e4031,0.58
-14.240293,0.7253335,0.03,e4031,1.20b_B01,e4031,0.58
-16.297955,1.6496035,0.03,e4031,1.20b_B01,e4031,0.58
-18.038006,-1.4330673,0.03,e4031,1.20b_B01,e4031,0.58
-13.981471,-1.8924932,0.03,e4031,1.20b_B01,e4031,0.58
-15.349508,0.15797924,0.03,e4031,1.20b_B01,e4031,0.58
